EventID,PersonID,ZoneID,ZoneName,EntryTime,ExitTime,DurationSeconds,VideoPath,SnapshotPath
9,1,3,bhavani_beside_denger,2026-06-03T18:49:59.038565,2026-06-03T18:51:03.471462,64.43,C:\Users\valkontek 010\Downloads\danger_zones_detection\multi_feature_crowd_monitoring\recordings\loitering\event_0009.mp4,C:\Users\valkontek 010\Downloads\danger_zones_detection\multi_feature_crowd_monitoring\snapshots\loitering\event_0009.jpg
10,44,3,bhavani_beside_denger,2026-06-03T18:51:52.044365,2026-06-03T18:52:31.813020,39.77,C:\Users\valkontek 010\Downloads\danger_zones_detection\multi_feature_crowd_monitoring\recordings\loitering\event_0010.mp4,C:\Users\valkontek 010\Downloads\danger_zones_detection\multi_feature_crowd_monitoring\snapshots\loitering\event_0010.jpg
28,10,3,bhavani_beside_denger,2026-06-04T16:23:34.612109,2026-06-04T16:23:59.635657,25.02,/mnt/jetson-storage/projects/multi_feature_crowd_monitoring/recordings/loitering/event_0028.mp4,/mnt/jetson-storage/projects/multi_feature_crowd_monitoring/snapshots/loitering/event_0028.jpg
29,27,3,bhavani_beside_denger,2026-06-04T16:29:28.797149,2026-06-04T16:29:44.088661,15.29,/mnt/jetson-storage/projects/multi_feature_crowd_monitoring/recordings/loitering/event_0029.mp4,/mnt/jetson-storage/projects/multi_feature_crowd_monitoring/snapshots/loitering/event_0029.jpg
35,67,3,bhavani_beside_denger,2026-06-04T18:27:03.908365,2026-06-04T18:27:34.501761,30.59,/mnt/jetson-storage/projects/multi_feature_crowd_monitoring/recordings/loitering/event_0035.mp4,/mnt/jetson-storage/projects/multi_feature_crowd_monitoring/snapshots/loitering/event_0035.jpg
