21,66,3,bhavani_beside_denger,2026-06-01T16:07:13.041376,2026-06-01T16:07:22.690604,9.65,C:\VineethaData\danger_zones_detection\recordings\event_0021.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0021.jpg
18,35,3,bhavani_beside_denger,2026-06-01T16:06:23.541131,2026-06-01T16:07:38.863138,75.32,C:\VineethaData\danger_zones_detection\recordings\event_0018.mp4;C:\VineethaData\danger_zones_detection\recordings\event_0018_part_002.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0018.jpg
22,90,3,bhavani_beside_denger,2026-06-01T16:07:24.768899,2026-06-01T16:08:02.257816,37.49,C:\VineethaData\danger_zones_detection\recordings\event_0022.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0022.jpg
23,111,3,bhavani_beside_denger,2026-06-01T16:07:40.541409,2026-06-01T16:08:10.055891,29.51,C:\VineethaData\danger_zones_detection\recordings\event_0023.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0023.jpg
24,135,3,bhavani_beside_denger,2026-06-01T16:08:02.654234,2026-06-01T16:08:12.487336,9.83,C:\VineethaData\danger_zones_detection\recordings\event_0024.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0024.jpg
25,136,3,bhavani_beside_denger,2026-06-01T16:08:02.656249,2026-06-01T16:08:21.733114,19.08,C:\VineethaData\danger_zones_detection\recordings\event_0025.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0025.jpg
17,37,3,bhavani_beside_denger,2026-06-01T16:06:23.741238,2026-06-01T16:08:26.316721,122.58,C:\VineethaData\danger_zones_detection\recordings\event_0017.mp4;C:\VineethaData\danger_zones_detection\recordings\event_0017_part_002.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0017.jpg
29,183,3,bhavani_beside_denger,2026-06-01T16:08:17.893705,2026-06-01T16:08:27.140512,9.25,C:\VineethaData\danger_zones_detection\recordings\event_0029.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0029.jpg
27,157,3,bhavani_beside_denger,2026-06-01T16:08:10.577621,2026-06-01T16:08:28.170864,17.59,C:\VineethaData\danger_zones_detection\recordings\event_0027.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0027.jpg
28,181,3,bhavani_beside_denger,2026-06-01T16:08:17.648891,2026-06-01T16:08:32.781610,15.13,C:\VineethaData\danger_zones_detection\recordings\event_0028.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0028.jpg
26,146,3,bhavani_beside_denger,2026-06-01T16:08:08.609566,2026-06-01T16:08:33.766076,25.16,C:\VineethaData\danger_zones_detection\recordings\event_0026.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0026.jpg
30,209,3,bhavani_beside_denger,2026-06-01T16:08:25.898773,2026-06-01T16:08:33.947245,8.05,C:\VineethaData\danger_zones_detection\recordings\event_0030.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0030.jpg
33,238,3,bhavani_beside_denger,2026-06-01T16:08:33.048238,2026-06-01T16:08:41.547085,8.50,C:\VineethaData\danger_zones_detection\recordings\event_0033.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0033.jpg
31,236,3,bhavani_beside_denger,2026-06-01T16:08:31.222843,2026-06-01T16:08:42.068914,10.85,C:\VineethaData\danger_zones_detection\recordings\event_0031.mp4,C:\VineethaData\danger_zones_detection\snapshots\event_0031.jpg
34,1,3,bhavani_beside_denger,2026-06-01T17:42:48.078078,2026-06-01T17:43:02.349612,14.27,C:\Users\valkontek 010\Downloads\danger_zones_detection\danger_zones_detection\recordings\event_0034.mp4,C:\Users\valkontek 010\Downloads\danger_zones_detection\danger_zones_detection\snapshots\event_0034.jpg
35,1,3,bhavani_beside_denger,2026-06-01T17:43:02.927027,2026-06-01T17:43:16.033217,13.11,C:\Users\valkontek 010\Downloads\danger_zones_detection\danger_zones_detection\recordings\event_0035.mp4,C:\Users\valkontek 010\Downloads\danger_zones_detection\danger_zones_detection\snapshots\event_0035.jpg
36,1,3,bhavani_beside_denger,2026-06-01T17:43:22.849380,2026-06-01T17:43:38.445587,15.60,C:\Users\valkontek 010\Downloads\danger_zones_detection\danger_zones_detection\recordings\event_0036.mp4,C:\Users\valkontek 010\Downloads\danger_zones_detection\danger_zones_detection\snapshots\event_0036.jpg
37,1,3,bhavani_beside_denger,2026-06-01T17:45:39.427686,2026-06-01T17:46:00.388530,20.96,C:\Users\valkontek 010\Downloads\danger_zones_detection\danger_zones_detection\recordings\event_0037.mp4,C:\Users\valkontek 010\Downloads\danger_zones_detection\danger_zones_detection\snapshots\event_0037.jpg
